,_id,ltable_name,ltable_family,ltable_ecology,ltable_countries,ltable_threat_paragraph,ltable_conservation_paragraph,ltable_pop_trend,ltable_status,ltable_country_count,scientific_name,rtable_name,rtable_kingdom,rtable_phylum,rtable_class,rtable_order,rtable_family,genus,rtable_size,rtable_threats,rtable_conservation,rtable_threat_keywords,rtable_conservation_keywords,rtable_status,rtable_countries,rtable_country_count,rtable_tCount,label
56,4464235,nilgiri longtailed tree mouse,Muridae,Terrestrial,India; ,"
    Human disturbance, use of pesticides and exotic trees are found to be major threats to this species (S. Molur pers. comm.).

    
  ","['\n    It is listed as a vermin under Schedule V of the Indian Wildlife (Protection) Act. It has not been recorded from protected areas although it could occur in Brahmagiri and Pushpagiri Wildlife Sanctuaries in Coorg, Karnataka. Distribution, ecological and population studies are recommended (S. Molur pers. comm.).\n\n    \n  ']",Decreasing,Endangered,1,Vandeleuria nilagirica,longtailed climbing mouse ,Animalia,Chordata,Mammalia,Rodentia,Muridae,Vandeleuria ,c. 10 g (2),Occupying an area no more than 500 square kilometres the long-tailed climbing mouse is threatened by the loss and degradation of its habitat (1). Changes in forestry management with the increasing use of pesticides and native tree canopy species being replaced with exotics has resulted in forest fragmentation and gaps in the canopy (1) (3). Coffee plantations have also been felled and replaced with ginger cultivation (3). Consequently many populations of the long-tailed climbing mouse have been left isolated greatly increasing the species extinction risk (1).,There are currently no conservation measures in place for the long-tailed climbing mouse and it is not known to occur in any protected areas. However further surveys in the Brahmagiri and Pushpagiri Wildlife Sanctuaries may find additional populations. This Endangered species will also benefit from further studies into its distribution ecology and population status (1). ,loss;fragmentation; ,protected; ,Endangered,['Sri Lanka'],1,2,1.0
61,6186039,salvins mushroomtongue salamander,Plethodontidae,Terrestrial,El Salvador; Guatemala; ,"
    The major threat in the past has been habitat loss, due mainly to subsistence agricultural activities and wood extraction. The clearance of shaded habitats to open, drier landscapes will be severely detrimental to this species.

    
  ","['\n    It is not currently known from any protected areas in Guatemala, although protected areas are proposed within the species range. It might occur in Parque Nacional El Imposible in El Salvador (though this is not confirmed). The maintenance of shaded habitats is important to ensure the long-term persistence of this species.\n\n    \n  ']",Decreasing,Endangered,2,Bolitoglossa salvinii,salvins mushroomtongue salamander ,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa ,Snout-vent length: 51 - 68 mm (2) (3)Tail length: c. 51 mm (2),Salvinâ??s mushroomtongue salamander was once relatively common but has undergone a decline as a result of the loss and fragmentation of its forest habitat mainly due to subsistence agriculture and wood extraction (1) (8). Since lungless salamanders need a damp environment to maintain the moist skin on which oxygen uptake depends (4) any alteration in moisture conditions poses a severe threat. Therefore although it still survives in shaded plantations and sugarcane fields any clearance of these to create more open drier habitats would have a negative impact on this species (1). Similarly climate change may also pose a threat and already appears to be causing dramatic declines in other Central American salamanders (12). Although there is not yet any direct evidence that the fungal disease chytridiomycosis has contributed to these declines its role in the decline of many other amphibian species suggests that it may also be a potential threat (12).,No specific conservation measures are currently known to be in place for Salvinâ??s mushroomtongue salamander but the maintenance of shaded habitats has been identified as being important to its long-term survival (1). The species may potentially occur within the Parque Nacional El Imposible in El Salvador although this is not yet confirmed. It is not currently known from any protected areas in Guatemala but a number of protected areas have been proposed within its range and may benefit the species in the future (1). ,loss;fragmentation;environment;disease; ,protected; ,Critically Endangered,['Bermuda'],1,4,1.0
70,7610113,"rednosed bearded saki, rednosed saki, whitenosed bearded saki, whitenosed saki",Pitheciidae,Terrestrial,Brazil; ,"
    The Trans-Amazon highway bisects the range of this species from east to west and, perhaps more importantly, the Santar�?©m-Cuiab�?¡ highway (BR-163) makes most of the Xingu-Tapaj�?³s interfluvium easily accessible from the south. In recent years, this highway has become the main channel of colonization for soybean planters migrating northwards from Mato Grosso, although for the time being, this threat is limited to a relatively small proportion of the speciesâ?? range. Soybean farms contribute directly to forest clearing, but also provide the economic and political impetus for the development of new roads and infrastructure projects which accelerate rates of deforestation by other actors (Fearnside 2007). Cattle ranching is also an important threat. The species is hunted for food and occasionally for its tail (for use as dusters).

    
  ","['\n    This species occurs in the Parque Nacional da Amaz�?´nia [Tapaj�?³s] (10,000 km�?²), and Floresta Nacional do Tapaj�?³s (Flona Tapaj�?³s).', <br/>, 'It is listed on CITES Appendix I.\n\n    \n  ']",Decreasing,Endangered,1,Chiropotes albinasus,whitenosed saki ,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Chiropotes ,Male head-body length: c. 42.7 cm (2)Female head-body length: c. 41.8 cm (2)Tail length: 30 - 50.7 cm (3),The white-nosed saki is mainly threatened by habitat destruction as its range has been divided by the Trans-Amazon highway. The Santar�?©m-Cuiab�?¡ highway provides easy access to the Xingu-Tapaj�?³s region making the forests vulnerable to clearance for soybean farms and infrastructure development. Soybean plantations currently threaten only a small portion of the white-nosed sakiâ??s range but clearance for cattle ranching is also a threat (1).,As well as being listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) (4) the white-nosed saki is protected under the Brazilian Endangered Species Act which prohibits the capture collection sale or export of this species (10). Its range also includes two reserves: the Parque Nacional da Amaz�?´nia and Floresta Nacional do Tapaj�?³s which offer this species some protection (1). However enforcing legislation in the region is difficult and further parks or reserves are recommended (10). , ,cites;protected;endangered species act; ,Critically Endangered,['Malta'],1,0,
80,8862181,"club naiad, clubshell, clubshell pearly mussel",Unionidae,,United States; ,,,,Critically Endangered,1,Pleurobema clava,clubshell pearly mussel ,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Pleurobema ,Length: up to 7.6 cm (2),It is estimated that the clubshell pearly mussel has been extirpated from more than 95 percent of its range in the last hundred years (4). The decline of this species has been attributed mostly to pollution from agricultural run-off and to the alteration of waterways (4) (7) with the clubshell pearly mussel being particularly sensitive to siltation (4).,The clubshell pearly mussel is federally listed as â??Endangeredâ?? in the United States (4) (7) and is classified as â??Endangeredâ?? in Illinois Indiana Michigan and Ohio (2). In addition this species is known to occur in Erie National Wildlife Refuge (10). ,invasive;pollution; , ,Critically Endangered,['South Africa'],1,2,
89,9125918,delta green ground beetle,Carabidae,,United States; ,,,,Critically Endangered,1,Elaphrus viridis,delta green ground beetle ,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Elaphrus ,Length: 6 mm (2).,The historical distribution of the delta ground beetle is unknown but it is thought reasonable to assume that the species was once found throughout the wetlands and grasslands of Californiaâ??s Central Valley (4). The area has suffered widespread disruption and destruction of its wetland habitat from agricultural development tapping of vernal pools for irrigation of crops river channelisation and encroaching urban development all of which are thought to have played a role in the demise of this species (2) (4). Additionally an introduced alien plant garden lippia (<i>Phyla</i> spp.) poses an immediate threat to the speciesâ?? remaining range. The plant forms dense mats in vernal pools crowding out native vegetation and hindering the beetleâ??s foraging (2). Only around 75 individuals have been seen since 1974 and the speciesâ?? small range places it in very serious danger of extinction (4).,The delta green ground beetle is protected by the Lacey Act which prohibits its import export transport sale purchase receipt or acquisition (4). The beetle is also protected through its occurrence in the Jepson Prairie Reserve (5) but other suitable sites nearby are on private land and negotiations over their protection are ongoing (2). Since its life cycle is intricately intertwined with the seasonal changes of its vernal pool habitat conservation of the delta green ground beetle very much depends upon the protection of this habitat which is itself endangered (2). Thus protection of this disappearing habitat must be the top priority in the conservation of not only the delta ground beetle but also the array of other endangered species that are unique to and depend heavily upon this threatened vernal pool ecosystem. , ,protected; ,Critically Endangered,"['Angola', 'Equatorial Guinea', 'Gabon', 'Central African Republic', 'Cameroon']",5,0,
111,2099479,dark red meranti,Dipterocarpaceae,Terrestrial,Indonesia (Sumatera); ,,['\n    Some subpopulations are found in primary forest reserves.\n\n    \n  '],,Endangered,1,Shorea platyclados,dark red meranti ,Plantae,Tracheophyta,Magnoliopsida,Theales,Dipterocarpaceae,Shorea ,Trunk diameter: up to 172 cm (2),Dipterocarp forests have become amongst the most endangered in the world widely logged for use in furniture-making general construction and boat-building (7). Furthermore the slow growth of these trees and late flowering mean that many trees are cut down before having a chance to reproduce (4).,Some subpopulations of this species are found in primary forest reserves where they receive varying levels of protection (1). Furthermore because of their high economic value there have been efforts to replant dipterocarp forests which may include species such as this dark red meranti (4). , , ,Endangered,['Seychelles'],1,0,
121,1089171,blue mountain water skink,Scincidae,,Australia; ,,,,Endangered,1,Eulamprus leuraensis,blue mountains water skink ,Animalia,Chordata,Reptilia,Squamata,Scincidae,Eulamprus ,up to 10 g (2),Restricted to a very specific habitat dependant on delicate associations between the fauna and flora and the water hydrology the Blue Mountains water skink has probably never been abundant. However as a result of an increasing human population encroaching upon its habitat it has become threatened and today has a very small population (1) (2). Relict populations are extremely isolated and fragmented and therefore highly vulnerable to habitat degradation especially as the majority of Blue Mountains water skink populations are surrounded by urban development (2). Pollution from rubbish disposal commercial run-off and septic discharge is a particular problem at several locations and can lead to nitrification promoting weed infestations. Earthworks for the establishment of sewage pipelines and poor erosion control mechanisms has also resulted in sedimentation causing swamps to dry up. Furthermore the Blue Mountains water skinkâ??s range is intersected by corridors of powerlines and their servicing has been identified as an additional threat through the slashing burning and spraying of pesticides that is required to gain maintenance access (4).     ,With high levels of <strong>endemism</strong> and large numbers of threatened species the Blue Mountains home to the Blue Mountains water skink is a region of major conservation importance. Recognising this the Australian government has afforded this region extra protection beginning in 1959 with the creation of the Blue Mountains National Park and most recently the creation of the UNESCO Greater Blue Mountains World Heritage Area in 2000 (9) (10).  ,pollution; , ,Endangered,"['Russia', 'Georgia', 'Turkey']",3,1,
123,5575006,"blackfaced black spider monkey, chamek spider monkey, peruvian black spider monkey, peruvian spider monkey",Atelidae,Terrestrial,"Bolivia, Plurinational States of; Brazil (Acre, Amazonas, Mato Grosso, Rond�?´nia); Peru; ","
    The major threat is subsistence and market hunting for food (with guns). An additional threat is habitat loss due to agricultural expansion in the southern portion (soy) and parts of the Peruvian Amazon (mining), and habitat degradation from selective logging, which may affect key fruiting species and forest structure and also opens up new areas for hunting.

    
  ","['\n    This species is confirmed, or may occur, in numerous protected areas.', <br/>, <br/>, 'Bolivia', <br/>, 'Manuripi Heath National Park (1,884,000 ha) (in range)', <br/>, 'Ambor�?³ National Park (180,000 ha) (in range)', <br/>, 'Carrasco National Park (622,600 ha) (in range)', <br/>, 'Noel Kempf Mercado National Park (1,500,000 ha) (Wallace ', <em>et al</em>, '. 1998)', <br/>, 'Isiboro-Secure National Park (1,200,000 ha (in range)', <br/>, 'R�?­os Blanco y Negro National Reserve (1,423,900 ha) (Wallace ', <em>et al</em>, '. 2000)', <br/>, 'Beni Biosphere Reserve (Painter ', <em>et al</em>, '. 1995)', <br/>, 'Beni Biological Station (135 ha) (Garcia and Tarifa 1988)', <br/>, <br/>, 'Brazil', <br/>, 'Amaz�?´nia National Park (1,114,917 ha) (in range)', <br/>, 'Serra dio Divisor National Park (846,408 ha) (in range)', <br/>, 'Serra da Cutia National Park (284,923 ha) (in range)', <br/>, 'Mapinguari National Park (1,572,422 ha) (in range)', <br/>, 'Abufari Biological Reserve (224,819 ha) (in range)', <br/>, 'Jaru Biological Reserve (353,386 ha) (in range)', <br/>, 'Guapor�?© Biological Reserve (618,173 ha) (in range)', <br/>, 'Juta�?­-Solim�?µes Ecological Station (287,101 ha) (in range)', <br/>, 'Rio Acre Ecological Station (79,418 ha) (in range)', <br/>, 'Iqu�?ª Ecological Station (217,184 ha) (in range)', <br/>, 'Cuni�?£ Ecological Station (49,886 ha) (in range)', <br/>, <br/>, 'Peru ', <br/>, 'Manu National Park (Soini ', <em>et al</em>, '. 1989; Terborgh 1983)', <br/>, 'Bahuaja-Sonene National Park (1,091,416 ha) (in range)', <br/>, 'Pacaya-Samiria National Reserve (2,080,000 ha)  (Aquino and Encarnaci�?³n 1994a: Neville ', <em>et al</em>, '. (1976) reported one sighting of ', <em>Ateles chamek</em>, ' in the reserve: Soini ', <em>et al.</em>, ' (1989) reported that it occurs in low numbers there).', <br/>, <br/>, 'It is listed on Appendix II of CITES.\n\n    \n  ']",Decreasing,Endangered,3,Ateles chamek,peruvian spider monkey ,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles ,ca. 7 kg (2),The Peruvian spider monkey is under serious threat from hunting for food as well as from habitat loss as forests are cleared for agriculture cattle ranching and mining (1). Selective logging may also remove key fruiting trees such as figs and open up the forest to further hunting (1) (14) while the building of the Transoceanic highway between Brazil and Peru brings the threat of increased hunting and deforestation throughout the southern part of the speciesâ?? range (1). Its dependence on mature undisturbed forest makes the Peruvian spider monkey particularly vulnerable to habitat loss and degradation while its slow reproductive rate means that populations take a long time to recover from any losses (1) (2) (5) (8) (15).,The Peruvian spider monkey occurs in many protected areas throughout its range (1) and international trade in the species should be regulated under its listing on Appendix II of the Convention on International Trade in Endangered Species (CITES) (3). However tighter controls on hunting together with stronger measures to preserve its habitat are likely to be needed if this charismatic primate is to be properly protected. ,loss;hunting; ,cites;protected; ,Critically Endangered,"['Taiwan', 'Philippines', 'China']",3,2,
124,4638210,"malagasy giant jumping rat, malagasy giant rat",Nesomyidae,Terrestrial,Madagascar; ,"
    The historical decline of this species has been partly through climatic change leading to increased aridification of south-western Madagascar, and also the extensive modification of suitable habitat by humans since their arrival on the island. Current areas of habitat are threatened by slash and burn agriculture, charcoal production, burning for cattle pasture and logging (Sommer 2003). There is a road that now cuts through the middle of the species' range, and has divided the range. Throughout its range, increasing visits by hunters and their dogs have targeted this species. Also, this species has declined with the introduction of feral dogs and cats, by predation and also potentially transmission of lethal toxoplasmosis. This species could be susceptible to hantavirus, which has been shown in some rodents in eastern Madagascar.

    
  ","['\n    The new Menabe-Antimena protected area has temporary protection order and covers the entire range of the species. A successful captive-breeding programme for this species has been established by the Durrell Wildlife Conservation Trust (see Wright ', <em>et al.</em>, ' 2003). There is ongoing research on potential pathogens, and there is a need to control feral dogs and cats.\n\n    \n  ']",Decreasing,Endangered,1,Hypogeomys antimena,malagasy giant rat ,Animalia,Chordata,Mammalia,Rodentia,Nesomyidae,Hypogeomys ,1 â?? 1.5 kg (2),Like many of Madagascarâ??s unique species the Malagasy giant rat is thought to have become highly endangered due to habitat loss and disturbance and predation by and competition with introduced species (8). For centuries Madagascarâ??s forests have experienced successive waves of degradation at the hands of human colonists each with different destructive patterns of land use (7). In more recent years illegal and commercial logging charcoal production and burning to clear land for agriculture or cattle pasture have all had a devastating impact often changing open forest into dense shrubby undergrowth unsuitable as rat habitat or destroying the vegetation completely (3). The rats continue to suffer from human disturbance in the remaining forests which are used by the villagers to gather firewood collect honey dig up edible roots and hunt tenrecs and lemurs (3) (7). Predation by introduced predators such as dogs may also be playing a significant role in this speciesâ?? decline (3).,This large rodent is in urgent need of conservation and its future remains highly uncertain. The Durrell Wildlife Conservation Trust is currently working closely with the Madagascan government and local community to help protect the species and has also established a captive breeding programme (5). The Menabe Forest an Alliance for Zero Extinction site due to the presence of this and a number of other endangered species was previously heavily impacted by subsistence farming wood extraction and livestock ranching. Fortunately in order to protect its unique but rapidly diminishing biodiversity the Madagascan government aims to expand the nationâ??s protected area network and on March 28 2006 the Minister of the Environment Water and Forests signed a decree giving 125000 hectares of Menabe Forest temporary protected status. This is the first step towards making the site an official protected area. However while community and conservation groups have begun the slow process of agreeing on the official boundaries and goals of the new protected area (9) prospectors have begun using dynamite to search for oil reserves in Menabe causing concerns about further forest degradation (7). Official full protected status is urgently needed in this area if the Malagasy giant rat is to be successfully brought back from the brink of extinction. ,loss;pet; ,captive breeding;protected; ,Endangered,"['Tanzania', 'Kenya']",2,2,
139,3047256,"golden bamboo lemur, golden lemur",Lemuridae,Terrestrial,Madagascar; ,"
    The major threat is habitat loss due to slash-and-burn agriculture and harvesting for bamboo for building houses, carrying water, making baskets and other local uses. Hunting is also a threat in some parts of the range.

    
  ","['\n    This species is listed on Appendix I of CITES. ', <span lang=""EN-CA"">This species has a notably small and patchy distribution and typically occurs at low population densities.<span lang=""EN-CA""> It is known to occur in two national parks (Andringitra and Ranomafana). The Ranomafana / Andringitra forest corridor has been proposed as a conservation unit in conjunction with efforts to propagate and re-establish stands of bamboo varieties that serve as food for this species. In 2005 the total world population was estimated at probably less than 2,500. As of 2010, this species was not being kept in captivity (ISIS 2009; E.E. Louis Jr. pers. comm.).<br/><br/><br/><br/> <p><span lang=""EN-CA""><strong></strong><br/> </span></p></span>
</span>]",Decreasing,Critically Endangered,1,Hapalemur aureus,golden bamboo lemur ,Animalia,Chordata,Mammalia,Primates,Lemuridae,Hapalemur ,1 - 1.5 kg (2),Mainly threatened by habitat loss through slash-and-burn agriculture (6) although the golden bamboo lemur may also be under threat from hunting for food and for the pet trade (5). Recent estimates believe that there are under 400 individuals remaining in the wild (4).,In 1991 three areas of land around the village of Ranomafana were designated as Ranomafana National Park. Furthermore the area in Andringitra that supports this species is a strict nature reserve and made the transition to a National Park in October 1999 (7). The golden bamboo lemur within these areas are therefore afforded a degree of protection (5) but slash-and-burn agriculture is encroaching at the park boundaries (6). Although Malagasay law forbids the hunting killing and capturing of all lemurs (4) problems may still arise as the law is difficult to enforce (5). At present there is a very small captive population in Madagascar but there is no co-ordinated breeding programme (5). ,loss;hunting;pet; , ,Endangered,"['Australia', 'United States']",2,3,
152,5817875,queen alexandras birdwing,Papilionidae,,Papua New Guinea; ,,,,Endangered,1,Ornithoptera alexandrae,queen alexandras birdwing ,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera ,Wingspan: 19 â?? 28 cm (2),As one of the worldâ??s most beautiful butterflies Queen Alexandraâ??s birdwing is extremely attractive to collectors. Fetching thousands of dollars per butterfly this rare species has suffered severely from over harvesting (4). Recognising a dramatic decline in 1966 the Papua New Guinea government gave Queen Alexandraâ??s birdwing legal protection from collectors. Consequently trade in this butterfly has been somewhat reduced but illegal collection continues to threaten this species. Today however the greatest threat to Queen Alexandraâ??s birdwing is the loss of its lowland rainforest habitat. Historically forests were cleared for subsistence farming and logging and large tracts of forest were destroyed by the volcanic eruption of Mount Lamington in 1951. Presently the main cause behind forest loss is the expansion of the palm oil industry compounded by the development of rubber and cocoa plantations (7).  ,Threatened by illegal trade and habitat loss the survival of Queen Alexandraâ??s birdwing is dependant upon the successful implementation of conservation measures. To abate trade pressure Queen Alexandraâ??s birdwing is listed on Appendix I of the Convention on International Trade in Endangered Species (CITES) and as an Annex A species in the EU Council Regulation on trade of wild species both of which prohibit international trade (2) (3). Furthermore the Papua New Guinea government has provided financial aid to local communities to develop butterfly nurseries.  These licensed farms aim to sustainably trade wild butterflies whilst providing local communities with an additional income and improving the long-term survival prospects of many rare butterfly species (8). In addition a large wildlife management area has been created protecting much Queen Alexandraâ??s birdwing habitat. Assuming these measures continue successfully there is significant hope that the beautiful Queen Alexandraâ??s birdwing will continue to grace the forests of Papua New Guinea (7).  ,loss; ,cites; ,Critically Endangered,[],0,1,
158,2081657,"danube salmon, huchen",Salmonidae,Freshwater,Austria; Bosnia and Herzegovina; Croatia; Czech Republic; Germany; Hungary; Montenegro; Poland; Romania; Serbia (Serbia); Slovakia; Slovenia; Ukraine; ,"
    Historically overfishing, pollution and dam construction caused the decline of the species. Currently the main the threats are hydropower stations which heavily regulate flow regime (which impacts upon their prey and habitat), and pollution in some countries (Bosnia and Croatia).

    
  ","['\n    Restocking, fishing regulations. A EU LIFE project in Austria to improve habitat conditions (now finished and seems to have been successful). Listed on Appendix III of the Bern Convention.\n\n    \n  ']",Unknown,Endangered,13,Hucho hucho,danube salmon ,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Hucho ,up to 53 kg (2),Once widespread the Danube salmon is now amongst the most endangered fish species in Europe (3) (8). Numbers have been massively depleted due to overexploitation industrial and agricultural pollution deforestation (causing increased water temperatures) water redirection and badly designed or non-existent fish ladders in dams and reservoirs (2) (6). Barriers and dams are major obstacles for spawning fish and prevent genetic exchange between sub-populations (8). In addition the fishâ??s popularity with anglers as a sports fish has probably also contributed to the speciesâ?? decline (2). As a result of these combined threats the Danube salmon is now common in only around 33% of its former range rare in 28 % and has disappeared completely from 39 % (4).,Conservation efforts to date have involved the establishment of reserves restocking of populations and introductions into rivers not previously inhabited by the species legal restrictions on fishing times and quotas and even a total ban on fishing the Danube salmon in most European countries (4) (6). Unfortunately none of the measures have had long-term success partly due to the continuing pollution of rivers (4) (6). It has therefore been advocated that total protection should be given to the Danube salmonâ??s habitat with particular focus on the halting of pollution and that more ecologically sound fishery management protocols be implemented (6). ,pollution; , ,Endangered,['United States'],1,1,
